id,year,month,day,timestamp,event_validity,cause_code,focal_depth,primary_magnitude,country,state,location_name,latitude,longitude,region_code,maximum_water_height,abe,iida,soloviev,warning_status,deaths,deaths_description,missing,missing_description,injuries,injuries_description,damage_millions_dollars,damage_description,houses_destroyed,houses_destroyed_description,houses_damaged,houses_damaged_description,total_deaths,total_deaths_description,total_missing,total_missing_description,total_injuries,total_injuries_description,total_damage_in_millions_dollars,total_damage_description,total_houses_destroyed,total_houses_destroyed_description,total_houses_damaged,total_houses_damaged_description
3190,1774,9,24,1774-09-24 00:00:00,1,0,,,,,MEDITERRANEAN SEA,,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,1099,11,11,1099-11-11 00:00:00,1,0,,,UK,,"WEST CORNWALL, ENGLAND",50.116,-5.483,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,1580,4,6,1580-04-06 00:00:00,0,1,33,6.2,UK,,"DOVER STRAITS, ENGLAND",51.019,1.309,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,1609,1,19,1609-01-19 00:00:00,1,0,,,UK,,ENGLAND,51.5,0.466,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
457,1755,11,5,1755-11-05 00:00:00,1,0,,,UK,,"RIVER TEES, ENGLAND",54.68,-1.21,73,0.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
460,1756,2,27,1756-02-27 00:00:00,2,0,,,UK,,"ILFRACOMBE, ENGLAND",51.208,-4.122,73,1.8,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,
463,1757,7,15,1757-07-15 00:00:00,1,1,,,UK,,"SCILLY ISLANDS, ENGLAND",49.92,-6.32,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
469,1761,7,28,1761-07-28 00:00:00,-1,9,,,UK,,"MOUNT'S BAY, ENGLAND",50.033,-5.417,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
470,1761,8,14,1761-08-14 00:00:00,1,1,,,UK,,"GUERNSEY, ENGLISH CHANNEL",49.465,-2.585,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
473,1762,9,27,1762-09-27 00:00:00,1,0,,,UK,,"THE THAMES, ENGLAND",51.5,0.1,73,3,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
480,1763,9,18,1763-09-18 00:00:00,1,0,,,UK,,"WEYMOUTH, ENGLAND",50.6,-2.466,73,3,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,
481,1764,2,11,1764-02-11 00:00:00,1,0,,,UK,,"BRISTOL, ENGLAND",51.45,-2.583,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
495,1767,11,28,1767-11-28 00:00:00,1,0,,,UK,,"LONDON, ENGLAND",51.5,-0.08,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4962,1793,7,17,1793-07-17 00:00:00,1,0,,,UK,,"PLYMOUTH, ENGLAND",50.363,-4.142,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4303,1802,8,10,1802-08-10 00:00:00,1,0,,,UK,,SW ENGLAND,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4316,1827,11,1,1827-11-01 00:00:00,1,0,,,UK,,ENGLAND,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4302,1843,7,5,1843-07-05 00:00:00,1,0,,,UK,,"CORNWALL, ENGLAND",,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3540,1858,6,5,1858-06-05 00:00:00,2,0,,,UK,,"DOVER STRAITS, ENGLAND",51.03,1.61,73,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4304,1868,4,23,1868-04-23 00:00:00,1,0,,,UK,,SW ENGLAND,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1569,1926,7,30,1926-07-30 00:00:00,1,1,,,UK,,ENGLISH CHANNEL,49.21,-2.131,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4300,1931,6,7,1931-06-07 00:25:21,2,1,70,6,UK,,"DOGGER BANK, ENGLAND",54,1.067,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,1964,2,11,1964-02-11 00:00:00,1,0,,,UK,,ENGLAND,,,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5433,2011,6,27,2011-06-27 00:00:00,2,9,,,UK,,"PLYMOUTH, ENGLAND",50.5,-3,73,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,1500,,,,2,0,,,USA,HI,HAWAII,,,80,,,,,,,3,,,,,,,,,,,,3,,,,,,,,,,
2874,1540,,,,2,6,,,USA,AK,"COOK INLET, AK",59.37,-153.42,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2440,1668,4,13,1668-04-13 00:00:00,0,1,,,USA,MA,"BOSTON AND SALEM, MASSACHUSETTS",42.35,-71.05,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2441,1755,10,4,1755-10-04 00:00:00,0,0,,,USA,NY,LAKE ONTARIO,43.5,-78,75,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,
459,1755,11,18,1755-11-18 00:00:00,1,1,,,USA,MA,MASSACHUSETTS: EAST OF CAPE ANN,42.7,-70.3,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
551,1788,8,6,1788-08-06 00:00:00,4,1,,8,USA,AK,"SHUMAGIN ISLANDS, AK",55,-161,87,88,,3.3,4,,,3,,,,,,,,,,,,3,,,,,,,,,,
554,1790,9,11,1790-09-11 00:00:00,-1,9,,,USA,AK,"E. ALEUTIAN ISLANDS, AK",,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
575,1796,5,29,1796-05-29 00:00:00,1,6,,,USA,AK,"BOGOSLOF ISLAND, AK",54,-167,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2467,1806,3,25,1806-03-25 08:00:00,2,1,,,USA,CA,"SANTA BARBARA, S. CALIFORNIA",34.4,-119.7,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2443,1811,12,16,1811-12-16 14:15:00,0,1,,8,USA,AR,AR: NE  - NEW MADRID EARTHQUAKES,35.6,-90.4,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2444,1812,1,23,1812-01-23 15:00:00,0,1,,8.4,USA,MO,"NEW MADRID, MO",36.3,-89.6,75,,,,,,,,1,1,,,,2,,,,,,,,,,,,,,,,
605,1812,,,,1,0,,,USA,CA,"SAN FRANCISCO, N. CALIFORNIA",,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,1813,,,,-1,0,,,USA,HI,HAWAII,,,80,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2446,1817,1,8,1817-01-08 00:00:00,0,1,,,USA,PA,"PHILADELPHIA, PENNSYLVANIA",39.95,-75.1,75,0.3,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
631,1820,3,1,1820-03-01 00:00:00,2,6,,,USA,AK,"E. ALEUTIAN ISLANDS, AK",54.52,-164.65,87,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
5666,1820,,,,3,8,,,USA,WA,"CAMANO ISLAND, WA",48.06,-122.36,88,,,,,,,2,,,,,,,,1,,,,3,,,,,,,,1,,
2447,1821,9,3,1821-09-03 00:00:00,1,9,,,USA,VA,"ASSATEAGUE ISLAND, VA",38.083,-75.208,75,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
2448,1823,5,30,1823-05-30 00:00:00,0,1,,,USA,NY,LAKE ERIE,42.7,-79,75,2.74,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,
654,1825,3,21,1825-03-21 00:00:00,-1,6,,,USA,AK,"UNIMAK ISLAND, AK",54.77,-164.18,87,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,
657,1826,10,22,1826-10-22 00:00:00,-1,6,,,USA,AK,"UNIMAK ISLAND, AK",55,-165,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
660,1827,1,18,1827-01-18 00:00:00,1,9,,,USA,CA,N. CALIFORNIA,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
658,1827,8,8,1827-08-08 00:00:00,-1,4,,,USA,AK,"ALASKA PENINSULA, AK",,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
659,1827,,,,-1,6,,,USA,AK,"E. ALEUTIAN ISLANDS, AK",,,87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2329,1839,3,,,1,1,,,USA,HI,HAWAII,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,1840,1,16,1840-01-16 00:00:00,-1,9,,,USA,CA,S. CALIFORNIA,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2355,1840,11,11,1840-11-11 00:00:00,0,1,,5.2,USA,PA,"PHILADELPHIA, PENNSYLVANIA",39.8,-75.2,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
714,1840,,,,-1,1,,,USA,HI,HAWAII,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
