country,total_event,total_deaths
JAPAN,362,97
INDONESIA,253,72
USA,238,24
GREECE,183,33
ITALY,174,31
CHILE,166,38
RUSSIA,98,10
PHILIPPINES,88,30
NEW ZEALAND,83,7
PAPUA NEW GUINEA,77,14
PERU,70,23
MEXICO,65,26
TURKEY,63,11
SOLOMON ISLANDS,46,8
PORTUGAL,40,9
VANUATU,36,1
NORWAY,26,4
TAIWAN,26,14
VENEZUELA,26,10
CANADA,25,6
UK,23,1
USA TERRITORY,23,4
AUSTRALIA,21,2
CHINA,20,5
TONGA,19,1
NEW CALEDONIA,19,1
SPAIN,17,1
INDIA,16,3
SAMOA,16,2
COSTA RICA,16,3
ALBANIA,15,3
ALGERIA,15,9
CROATIA,14,1
SOUTH KOREA,13,4
HAITI,12,3
FRANCE,11,2
JAMAICA,11,2
UKRAINE,10,1
MARTINIQUE (FRENCH TERRITORY),10,3
ISRAEL,9,1
PANAMA,9,1
SYRIA,8,3
ICELAND,8,0
EL SALVADOR,8,3
GUADELOUPE (FRENCH TERRITORY),8,2
CUBA,7,0
FIJI,7,1
COLOMBIA,7,1
IRAN,6,4
ECUADOR,6,3
HONDURAS,6,1
GUATEMALA,6,3
EGYPT,5,2
VIETNAM,5,0
GREENLAND,5,2
NICARAGUA,5,1
ANTARCTICA,5,0
MONTSERRAT,5,0
FRENCH POLYNESIA,5,0
DOMINICAN REPUBLIC,5,2
CYPRUS,4,1
BANGLADESH,4,1
COOK ISLANDS,4,1
SOUTH AFRICA,4,0
UK TERRITORY,4,1
ATLANTIC OCEAN,4,0
TRINIDAD AND TOBAGO,4,0
"MICRONESIA, FED. STATES OF",4,0
TOGO,3,0
HOLLAND,3,0
LEBANON,3,0
MOROCCO,3,2
URUGUAY,3,0
MONTENEGRO,3,1
NORTH KOREA,3,0
BULGARIA,3,1
GHANA,3,2
SWEDEN,2,0
GEORGIA,2,0
GERMANY,2,0
GRENADA,2,0
TUNISIA,2,0
CAMEROON,2,2
SRI LANKA,2,0
NETHERLANDS,2,0
MYANMAR (BURMA),2,1
KERMADEC ISLANDS,2,0
ANTIGUA AND BARBUDA,2,0
NORTHWEST PACIFIC OCEAN,2,0
JORDAN,2,0
PAKISTAN,2,2
,1,0
KENYA,1,0
NAURU,1,0
DENMARK,1,0
IRELAND,1,0
DEAD SEA,1,0
ARGENTINA,1,0
IRISH SEA,1,0
NORTH SEA,1,0
BALTIC SEA,1,0
PACIFIC OCEAN,1,0
EAST CHINA SEA,1,0
"MARSHALL ISLANDS, REP. OF",1,0
CONGO,1,0
SCOTLAND,1,0
SAINT VINCENT AND THE GRENADINES,1,1
WALLIS AND FUTUNA (FRENCH TERRITORY),1,1
KOREA,1,0
ERITREA,1,0
SWITZERLAND,1,1
TURKMENISTAN,1,0
